Geography,Views,Average view duration,Watch time (hours)
Total,15503810,0:04:34,1183689.3666
US,2638475,0:05:42,250689.3897
IN,2110882,0:03:08,110670.9848
DE,839259,0:05:29,76769.5374
GB,726879,0:05:41,69010.4829
CA,577328,0:04:39,44804.7489
BR,417242,0:04:39,32436.5889
FR,409001,0:04:46,32522.7113
AU,319809,0:05:08,27374.7975
NL,315127,0:05:11,27310.408
IT,295043,0:04:32,22323.8989
PL,285693,0:03:45,17906.5976
ID,247539,0:03:07,12861.5027
RU,245690,0:03:09,12954.2128
ES,215522,0:04:16,15377.2767
TR,212161,0:03:16,11605.2197
SE,183884,0:05:55,18170.5514
VN,182871,0:02:43,8307.8242
KR,169621,0:02:56,8339.2105
MX,158602,0:04:15,11263.8795
PH,150614,0:03:42,9304.5368
IL,144502,0:04:46,11493.3565
JP,127896,0:04:08,8816.1643
TW,120198,0:03:26,6907.6393
AR,118942,0:04:38,9195.8647
BE,114003,0:05:03,9612.7498
RO,112218,0:04:09,7787.0979
HK,110189,0:03:47,6955.953
UA,109822,0:03:17,6013.5849
PT,109151,0:04:17,7813.0516
CH,108885,0:05:05,9232.19
DK,108503,0:05:43,10346.9126
PK,105362,0:03:15,5716.8895
BD,103086,0:03:10,5461.4379
TH,99505,0:02:57,4903.4072
SG,96537,0:03:39,5897.543
ZA,92502,0:05:21,8264.0727
MY,87738,0:03:37,5299.2729
AT,83835,0:05:10,7229.118
MA,80463,0:04:25,5932.2221
HU,79164,0:04:47,6320.084
NO,78803,0:06:02,7936.8419
EG,76655,0:03:34,4575.6204
CZ,75640,0:04:37,5829.1236
GR,72952,0:04:30,5474.619
IE,70846,0:04:40,5529.0036
CO,66578,0:04:00,4450.0988
FI,60969,0:05:24,5500.2197
NP,52147,0:03:23,2946.8349
NZ,49703,0:05:35,4629.6365
SA,46043,0:04:04,3132.063
BG,43288,0:04:16,3082.8872
NG,42649,0:04:18,3060.0945
RS,41479,0:04:04,2820.8836
CN,41407,0:04:05,2818.8283
CL,40368,0:04:26,2987.9714
DZ,38415,0:04:12,2697.2703
AE,37199,0:04:28,2777.4009
LK,35275,0:03:29,2057.2956
KE,30822,0:05:07,2636.4617
SK,30253,0:04:25,2227.9227
TN,28442,0:04:01,1910.0352
LT,27882,0:04:18,1998.4512
PE,27477,0:03:44,1714.0352
GE,26264,0:03:55,1717.7262
HR,25087,0:04:39,1949.8431
IQ,19921,0:03:13,1072.74
BY,19855,0:02:37,868.2445
SI,16973,0:05:00,1415.0153
ET,15949,0:03:28,922.4883
LV,13394,0:04:23,981.7876
KH,13027,0:03:13,700.576
KZ,12925,0:02:50,612.5092
LB,12591,0:04:10,874.8037
BA,12168,0:04:20,880.5553
AM,11993,0:02:51,571.0412
UZ,11960,0:02:25,481.7933
JO,11722,0:04:11,818.9918
EC,11586,0:03:35,693.2791
CR,10614,0:04:09,735.1892
UY,9869,0:04:58,818.8243
GH,9442,0:04:15,669.3134
EE,9339,0:04:42,733.6914
AZ,7862,0:03:29,458.0259
MD,7649,0:03:13,411.8012
DO,7242,0:04:44,572.2012
MK,7242,0:04:03,490.4489
SY,6511,0:04:36,499.7599
MM,6145,0:03:03,313.3331
IR,5492,0:03:42,338.8209
PS,4838,0:03:09,254.7043
BO,4803,0:03:15,260.3712
CY,4593,0:03:29,266.981
QA,4355,0:03:37,263.1763
VE,4143,0:05:48,401.2106
AL,3943,0:03:26,226.7036
JM,3394,0:04:25,250.3041
MN,3393,0:02:49,159.8442
MU,3178,0:03:13,171.202
UG,2886,0:04:08,199.2749
OM,2860,0:03:28,165.7834
KG,2360,0:02:49,110.8329
GT,2325,0:03:41,142.7912
ZW,2247,0:04:22,164.0312
CM,2094,0:03:49,133.6383
KW,2069,0:03:48,131.394
LU,2040,0:04:40,158.9139
TT,2014,0:04:02,135.8748
TZ,1925,0:04:24,141.4236
ZM,1915,0:04:09,132.6975
MO,1860,0:02:44,85.0152
RW,1830,0:04:12,128.5253
YE,1810,0:03:04,92.8443
PR,1726,0:04:43,135.8042
MT,1700,0:03:46,107.1849
IS,1508,0:05:41,143.0319
SD,1339,0:05:32,123.7272
MV,1174,0:05:20,104.5856
SN,1067,0:04:58,88.5516
BH,1014,0:04:28,75.6099
PA,998,0:04:36,76.6349
MG,828,0:02:22,32.758
CI,769,0:04:17,54.9058
SO,676,0:02:49,31.8061
SV,659,0:05:35,61.3478
ME,657,0:03:17,35.9952
PY,590,0:03:15,32.0498
NA,586,0:04:02,39.4532
BT,583,0:02:10,21.0902
BW,521,0:05:38,48.9538
RE,496,0:04:11,34.6219
MW,472,0:02:11,17.2245
MZ,436,0:03:03,22.2339
HN,429,0:03:37,25.9652
LY,411,0:05:00,34.2912
BJ,377,0:03:48,23.976
HT,341,0:04:12,23.9022
BN,317,0:03:28,18.3371
LI,308,0:04:31,23.2311
AO,296,0:03:25,16.8593
AF,284,0:04:23,20.7623
BZ,262,0:05:11,22.6722
CV,249,0:01:52,7.7496
BB,246,0:04:49,19.7885
NC,205,0:05:52,20.0548
SM,195,0:02:00,6.5242
LA,194,0:03:30,11.3596
AW,179,0:03:11,9.5136
CW,179,0:02:55,8.7389
NI,177,0:04:30,13.2859
EH,168,0:04:16,11.9561
BS,164,0:05:35,15.2827
GY,150,0:04:57,12.3758
LR,148,0:02:26,6.016
CD,131,0:04:55,10.7416
LS,125,0:01:30,3.1336
LC,121,0:07:18,14.748
BI,111,0:05:43,10.5982
TG,109,0:02:39,4.8142
FJ,106,0:03:55,6.9429
BF,102,0:04:50,8.225
CU,92,0:02:07,3.2476
GU,92,0:03:58,6.0891
VC,86,0:03:32,5.0694
FO,82,0:06:51,9.3754
IM,79,0:04:38,6.1177
SZ,77,0:06:32,8.3978
SR,73,0:08:53,10.8252
MR,66,0:04:41,5.1582
GI,62,0:06:23,6.6019
GA,59,0:03:16,3.2148
SX,58,0:03:11,3.0783
AD,55,0:07:06,6.5167
GD,53,0:11:39,10.2933
MF,43,0:01:51,1.3293
GM,40,0:01:56,1.2967
GG,37,0:02:58,1.8392
AG,33,0:04:57,2.7295
KY,33,0:05:23,2.9651
PG,33,0:09:38,5.3004
SL,33,0:04:06,2.2578
PF,30,0:11:03,5.5333
JE,28,0:05:19,2.4815
ML,25,0:08:32,3.5613
MH,24,0:11:00,4.4049
DM,21,0:07:59,2.7971
VI,14,0:06:38,1.5516
DJ,13,0:07:35,1.646
GP,11,0:10:11,1.8675
TD,11,0:00:54,0.1651
TJ,11,0:02:42,0.4959
GF,10,0:02:26,0.4056
MQ,10,0:08:37,1.4365
CG,0,,0
GL,0,,0
GQ,0,,0
MC,0,,0
SC,0,,0
SS,0,,0
TL,0,,0
VG,0,,0
XK,0,,0
