Date,Views
2020-12-31,31964
2021-01-01,37509
2021-01-02,43579
2021-01-03,48414
2021-01-04,48705
2021-01-05,47818
2021-01-06,44676
2021-01-07,42925
2021-01-08,56244
2021-01-09,44023
2021-01-10,44781
2021-01-11,44833
2021-01-12,44094
2021-01-13,42336
2021-01-14,42493
2021-01-15,47365
2021-01-16,52269
2021-01-17,51290
2021-01-18,46751
2021-01-19,46428
2021-01-20,47671
2021-01-21,46395
2021-01-22,43660
2021-01-23,53824
2021-01-24,48443
2021-01-25,46408
2021-01-26,53058
2021-01-27,51306
2021-01-28,45749
2021-01-29,48100
2021-01-30,42296
2021-01-31,42518
2021-02-01,44633
2021-02-02,51431
2021-02-03,47658
2021-02-04,46539
2021-02-05,43703
2021-02-06,57877
2021-02-07,58118
2021-02-08,52018
2021-02-09,47608
2021-02-10,45379
2021-02-11,42594
2021-02-12,48623
2021-02-13,52187
2021-02-14,44173
2021-02-15,47319
2021-02-16,56205
2021-02-17,48848
2021-02-18,49244
2021-02-19,45844
2021-02-20,54410
2021-02-21,52137
2021-02-22,60760
2021-02-23,53657
2021-02-24,51857
2021-02-25,50660
2021-02-26,43837
2021-02-27,49486
2021-02-28,43938
2021-03-01,46366
2021-03-02,45323
2021-03-03,43586
2021-03-04,42541
2021-03-05,42947
2021-03-06,50438
2021-03-07,47652
2021-03-08,47639
2021-03-09,59917
2021-03-10,51850
2021-03-11,47048
2021-03-12,50362
2021-03-13,44831
2021-03-14,53271
2021-03-15,49557
2021-03-16,47600
2021-03-17,44844
2021-03-18,43969
2021-03-19,45113
2021-03-20,39791
2021-03-21,41873
2021-03-22,45825
2021-03-23,45228
2021-03-24,44057
2021-03-25,42091
2021-03-26,39934
2021-03-27,38108
2021-03-28,41370
2021-03-29,44612
2021-03-30,44403
2021-03-31,44086
2021-04-01,49895
2021-04-02,46448
2021-04-03,44388
2021-04-04,45851
2021-04-05,50689
2021-04-06,48892
2021-04-07,50069
2021-04-08,47309
2021-04-09,41559
2021-04-10,39666
2021-04-11,42080
2021-04-12,44374
2021-04-13,53177
2021-04-14,46853
2021-04-15,44595
2021-04-16,48784
2021-04-17,41386
2021-04-18,44540
2021-04-19,47879
2021-04-20,46718
2021-04-21,46880
2021-04-22,47655
2021-04-23,43107
2021-04-24,43110
2021-04-25,48343
2021-04-26,49842
2021-04-27,47493
2021-04-28,44326
2021-04-29,49836
2021-04-30,55501
2021-05-01,47840
2021-05-02,49685
2021-05-03,54151
2021-05-04,59796
2021-05-05,53706
2021-05-06,49592
2021-05-07,51102
2021-05-08,37679
2021-05-09,39068
2021-05-10,42095
2021-05-11,40919
2021-05-12,39725
2021-05-13,37104
2021-05-14,33552
2021-05-15,31890
2021-05-16,36132
2021-05-17,38125
2021-05-18,42352
2021-05-19,48675
2021-05-20,45484
2021-05-21,35640
2021-05-22,31525
2021-05-23,34524
2021-05-24,37922
2021-05-25,39890
2021-05-26,39789
2021-05-27,46185
2021-05-28,42948
2021-05-29,33225
2021-05-30,34346
2021-05-31,35378
2021-06-01,34822
2021-06-02,34269
