Timestamp,City,Country,Time Zone
12/31/2021 12:48:07,Toronto,Canada,EST
12/31/2021 12:48:07,Šaľa,Slovakia,GMT+1
12/31/2021 12:48:08,Stockholm,Sweden,CET
12/31/2021 12:48:17,Idukki,Kerala,+5:30
12/31/2021 12:48:18,North Richland Hills,United States,Central
12/31/2021 12:48:18,,Stockholm ,+1
12/31/2021 12:48:22,Amman,Jordan,GMT+2
12/31/2021 12:48:23,,Belgium,CET (GMT+1)
12/31/2021 13:52:41,Réghaïa,Algeria,GMT+1
12/31/2021 12:48:25,Phoenix,Unites States,UTC-07:00
12/31/2021 12:48:26,Bristol,UK,Z
12/31/2021 13:51:34,pune,india,ist
12/31/2021 12:48:30,Brno,Czechia,UTC+1
12/31/2021 12:48:31,Nijmegen,Netherlands,CET
12/31/2021 12:48:31,"West Nyack, New York",America,EST
12/31/2021 12:48:33,Bengalore,India,Indian Standard Time (+5:30)
12/31/2021 13:52:42,Santana de Parnaíba,Brazil,UTC-03:00
12/31/2021 12:48:35,Porto Alegre,Brazil,UTC-3:00
12/31/2021 12:48:36,,USA,Central Time Zone
12/31/2021 12:48:39,"Columbus, OH",United States,EST
12/31/2021 12:48:40,Kavala,Greece,GMT+2
12/31/2021 12:48:42,London,UK,GMT
12/31/2021 12:48:43,New Delhi,India,GMT +5:30
12/31/2021 12:48:49,Stuttgart,Germany,UTC+01
12/31/2021 12:48:50,sfax,tunisia,
12/31/2021 12:48:50,Bordeaux ,France,GMT 
12/31/2021 12:48:52,Poria Illit,Israel,Israel Standard Time (GMT+2)
12/31/2021 12:48:52,Ivanovo,Russian Federation,
12/31/2021 12:48:53,Vienna,Austria,CST
12/31/2021 12:48:54,Pune,Country,IST
12/31/2021 12:48:55,Rostock,Germany,+1
12/31/2021 12:48:57,Goa,India,+5.30
12/31/2021 12:49:01,chicago,usa,gmt-6
12/31/2021 13:55:03,Schio,Italy,CEST
12/31/2021 12:49:05,Curitiba,Brazil,Utc-3
12/31/2021 12:49:07,Peshawar,Pakistan,GMT+5
12/31/2021 12:49:10,Agadir,Morocco,GTM+1
12/31/2021 12:49:12,zagreb,croatia,central european standard time
12/31/2021 13:52:46,Greater Sudbury,Canada,Eastern -5
12/31/2021 12:49:19,Ulverston,UK,GMT London
12/31/2021 12:49:21,Bucharest,Romania,GMT+2
12/31/2021 13:51:38,Montréal,Canada,EST UTC -5
12/31/2021 12:49:33,Khartoum,Sudan,
12/31/2021 12:49:33,Kolkata,India,GMT+5:30
12/31/2021 12:49:40,Ecatepec,México,11:48 central standard time
12/31/2021 13:52:33,Pathum thani ,Thailand, Indochina Time (GMT+7)
12/31/2021 12:51:07,,Germany,UTC+1
12/31/2021 12:51:13,Chiang rai,Thailand,UTC +7
12/31/2021 13:53:20,Aracaju,Brazil,gmt-3
12/31/2021 12:51:44,,France,
12/31/2021 12:53:37,Jaffna,Sri Lanka,India Standard Time
12/31/2021 12:54:55,Cleveland ,USA,EST
12/31/2021 13:15:25,Mashhad,Iran,GMT+3:30
12/31/2021 13:51:15,Exeter,GB,GMT
12/31/2021 13:15:31,Merano,Italy,CET
12/31/2021 13:15:32,Sousse,Tunisia,GMT+1
12/31/2021 13:52:02,Chesterfield,GB,GMT
12/31/2021 13:15:39,Tamilnadu,India,GMT+5:30
12/31/2021 13:53:11,Montréal,Canada,EST
12/31/2021 13:16:04,Red Deer,Canada,MST
12/31/2021 13:16:10,Bangalore,India,IST(UTC + 5:30)
12/31/2021 13:16:14,Regensburg,Germany,MEZ
12/31/2021 13:52:25,Winchester,GB,GMT
12/31/2021 13:16:19,Bankeryd,Sweden,gmt+1
12/31/2021 13:16:21,Nancy,France,UTC+1
12/31/2021 13:16:22,Vadodara,India,
12/31/2021 13:16:28,Portland,US,America/Los_Angeles
12/31/2021 13:51:54,New Delhi,India,00:21
12/31/2021 13:16:32,Kassel,Germany,CET
12/31/2021 13:16:33,Blacksburg,USA,EST
12/31/2021 13:16:41,Paris,France,UTC+1
12/31/2021 13:16:41,"Golden, CO",United States,MST
12/31/2021 13:16:41,Sturbridge,US,ET
12/31/2021 13:16:42,Batumi,Georgia,+4
12/31/2021 13:16:55,,austria,
12/31/2021 13:16:55,Seville,Spain,19:16 (GMT+1) 
12/31/2021 13:17:01,Stuttgart,Germany,CET
12/31/2021 13:51:47,ahemdabad,India,GMT+5:30
12/31/2021 13:17:24,Holly Springs,United States,EST
12/31/2021 13:51:14,Salt Lake City,United States,MST
12/31/2021 13:21:20,Ernakulam,India,IST
12/31/2021 13:58:08,Saint Petersburg ,RU,GMT +3
12/31/2021 13:51:12,Brussels,Belgium,
12/31/2021 13:22:33,Mysore,India,IST
12/31/2021 13:53:53,Siegen,Germany,UTC +1
12/31/2021 13:23:36,New delhi,India,23:53
12/31/2021 13:23:44,Darmstadt,Germany,
12/31/2021 13:23:48,Bacalar,México,GMT-5
12/31/2021 13:40:25,Tongeren,Belgium,CET
12/31/2021 13:49:31,Vadodara,India,IST
12/31/2021 13:51:12,Nagpur,India,IST
12/31/2021 13:51:15,Jena,Germany,GMT+1
12/31/2021 13:51:16,Brussels,Belgium,1
12/31/2021 13:54:02,Budapest,Hungary,
12/31/2021 13:52:03,Dhaka,Bangladesh,GMT+6
12/31/2021 13:51:24,Camaquã,BR,-3
12/31/2021 13:54:12,Zuidland,NL,CET
12/31/2021 13:51:25,Zurich,Switzerland,Berlin
12/31/2021 13:51:26,Riyadh,Saudi Arabia,
12/31/2021 13:51:27,Manchester,United Kingdom,
12/31/2021 13:51:27,São Paulo,Brazil,
12/31/2021 13:51:29,Athens,Greece,+2
12/31/2021 13:51:30,Guadalajara,Spain,Europe
12/31/2021 13:51:30,Cluj-Napoca,Romania,GMT+2
12/31/2021 13:51:30,Dublin,Ireland,GMT
12/31/2021 13:51:30,Bangalore,India,IST
12/31/2021 13:51:36,Sidney,US,EST
12/31/2021 13:51:46,Jerusalem,Israel,GMT+2:00
12/31/2021 13:51:53,Zürich,CH,UTC+1
12/31/2021 13:51:58,Kurukshetra,Indian,GMT+5:30
12/31/2021 13:52:10,Passau,Germany,UTC+1
12/31/2021 13:52:00,Banda Aceh,Indonesia,GMT+7
12/31/2021 13:52:00,New Delhi,India,GMT +5:30
12/31/2021 13:57:20,Shannon,IE,GMT
12/31/2021 13:52:05,Reading,UK,GMT
12/31/2021 13:52:09,Bournemouth,England,GMT
12/31/2021 13:52:44,Brodnica,Poland,GMT+1
12/31/2021 13:52:13,Newcastle upon Tyne,GB,GMT
12/31/2021 13:52:15,Manchester,United Kingdom,GMT
12/31/2021 13:52:15,,united kingdom,CET
12/31/2021 13:52:17,Ottawa,Canada,EST
12/31/2021 13:52:17,Nürnberg,DE,+1
12/31/2021 13:52:19,Morena,India,+5.30
12/31/2021 13:52:25,Challes,France,GMT+1
12/31/2021 13:52:28,Norwich,UK,London
12/31/2021 13:52:29,Rio de Janeiro,Brazil,
12/31/2021 13:52:31,Udupi,India,
12/31/2021 13:53:30,Strasbourg,FR,UTC+1
12/31/2021 13:52:38,Vantaa,Finland,EET
12/31/2021 13:53:55,Kansas City,US,CDT
12/31/2021 13:54:02,Aalborg,Denmark,GMT +1
12/31/2021 13:52:41,Kitzbühel,AT,CET
12/31/2021 13:52:43,Houston,US,
12/31/2021 13:53:04,Riyadh,Saudi Arabia,GMT+3
12/31/2021 13:53:10,Atlanta,US,
12/31/2021 13:53:21,Helsinki,Finland,EEST
12/31/2021 13:53:47,Turku,FI,Europe/Helsinki
12/31/2021 13:53:44,seoul,south korea,GMT+9
12/31/2021 13:54:42,Chelmsford,GB,
12/31/2021 13:54:09,Bengaluru ,India,GMT+5:30
12/31/2021 13:54:15,Quincy,US,Eastern Standard Time
12/31/2021 13:54:19,Tokyo,JP,JST
12/31/2021 13:54:41,Rome,Italy,GMT+1
12/31/2021 13:55:16,Wroclaw,Poland,GMT+1 
12/31/2021 13:56:04,Cracow,Poland,GMT+1
